uri,title,doi,abstract,processed_abstract
http://orkg.org/orkg/resource/R107663,Dimensions of transactional distance in the world wide web learning environment: a factor analysis,10.1111/1467-8535.00213,"<p>Moore's Theory of Transactional Distance hypothesizes that distance is a pedagogical, not geographic phenomenon. It is a distance of understandings and perceptions that might lead to a communication gap or a psychological space of potential misunderstandings between people. Moore also suggests that this distance has to be overcome if effective, deliberate, planned learning is to occur. However, the conceptualizations of transactional distance in a telecommunication era have not been systematically addressed. Investigating 71 learners' experiences with WorldWide Web, this study examined the postulate of Moore's theory and identified the dimensions (factors) constituting transactional distance in such learning environment. Exploratory factor analysis using a principal axis factor method was carried out. It was concluded that this concept represented multifaceted ideas. Transactional distance consisted of four dimensions—instructor‐learner, learner‐learner, learner‐content, and learner‐interface transactional distance. The results inform researchers and practitioners of Web‐based instruction concerning the factors of transactional distance that need to be taken into account and overcome in WWW courses.</p>","moore's theory of transactional distance hypothesizes that distance is a pedagogical, not geographic phenomenon. it is a distance of understandings and perceptions that might lead to a communication gap or a psychological space of potential misunderstandings between people. moore also suggests that this distance has to be overcome if effective, deliberate, planned learning is to occur. however, the conceptualizations of transactional distance in a telecommunication era have not been systematically addressed. investigating 71 learners' experiences with worldwide web, this study examined the postulate of moore's theory and identified the dimensions (factors) constituting transactional distance in such learning environment. exploratory factor analysis using a principal axis factor method was carried out. it was concluded that this concept represented multifaceted ideas. transactional distance consisted of four dimensions—instructor‐learner, learner‐learner, learner‐content, and learner‐interface transactional distance. the results inform researchers and practitioners of web‐based instruction concerning the factors of transactional distance that need to be taken into account and overcome in www courses."
http://orkg.org/orkg/resource/R107671,SPARQLES: Monitoring public SPARQL endpoints,10.3233/SW-170254,"<p>We describe SPARQLES: an online system that monitors the health of public SPARQL endpoints on the Web by probing them with custom-designed queries at regular intervals. We present the architecture of SPARQLES and the variety of analytics that it runs over public SPARQL endpoints, categorised by availability, discoverability, performance and interoperability. We also detail the interfaces that the system provides for human and software agents to learn more about the recent history and current state of an individual SPARQL endpoint or about overall trends concerning the maturity of all endpoints monitored by the system. We likewise present some details of the performance of the system and the impact it has had thus far.</p>","we describe sparqles: an online system that monitors the health of public sparql endpoints on the web by probing them with custom-designed queries at regular intervals. we present the architecture of sparqles and the variety of analytics that it runs over public sparql endpoints, categorised by availability, discoverability, performance and interoperability. we also detail the interfaces that the system provides for human and software agents to learn more about the recent history and current state of an individual sparql endpoint or about overall trends concerning the maturity of all endpoints monitored by the system. we likewise present some details of the performance of the system and the impact it has had thus far."
http://orkg.org/orkg/resource/R107696,The Influence of Message Framing on Intentions to Perform Health Behaviors,10.1006/jesp.1993.1019,"<section-title>Abstract</section-title><abstract-sec><simple-para>Prospect Theory proposes that people prefer taking risks to options that are certain when considering losses and prefer certainty to risk when considering gains (Kahneman & Tversky, 1979). As a result, individuals are expected to be persuaded to take risks when exposed to negatively framed messages. For instance, Meyerowitz and Chaiken (1987) demonstrated that exposure to negatively framed information promotes breast self-examination. However, the influence of message framing on other health behaviors has been inconsistent. Two studies examined the moderating effect of involvement with the health issue and type of target behavior on the influence of message framing on intentions to perform health behaviors relevant to preventing or detecting skin cancer. In our samples, women as compared to men were more concerned about sun tanning and skin cancer and therefore were considered to be more involved with this health issue. In Experiment 1, exposure to negatively framed versus positively framed messages differentially influenced the intentions of female (high involvement) and male (low involvement) subjects to obtain a skin cancer detection examination. In Experiment 2, women who read positively framed pamphlets were more likely than those who read negatively framed pamphlets to request sunscreen with an appropriate sun protection factor (a prevention behavior).</simple-para></abstract-sec>","abstract prospect theory proposes that people prefer taking risks to options that are certain when considering losses and prefer certainty to risk when considering gains (kahneman & tversky, 1979). as a result, individuals are expected to be persuaded to take risks when exposed to negatively framed messages. for instance, meyerowitz and chaiken (1987) demonstrated that exposure to negatively framed information promotes breast self-examination. however, the influence of message framing on other health behaviors has been inconsistent. two studies examined the moderating effect of involvement with the health issue and type of target behavior on the influence of message framing on intentions to perform health behaviors relevant to preventing or detecting skin cancer. in our samples, women as compared to men were more concerned about sun tanning and skin cancer and therefore were considered to be more involved with this health issue. in experiment 1, exposure to negatively framed versus positively framed messages differentially influenced the intentions of female (high involvement) and male (low involvement) subjects to obtain a skin cancer detection examination. in experiment 2, women who read positively framed pamphlets were more likely than those who read negatively framed pamphlets to request sunscreen with an appropriate sun protection factor (a prevention behavior)."
http://orkg.org/orkg/resource/R107739,Message framing and sunscreen use: Gain-framed messages motivate beach-goers.,10.1037/0278-6133.18.2.189,,
http://orkg.org/orkg/resource/R107744,The trade-off behaviours between virtual and physical activities during the first wave of the COVID-19 pandemic period,10.1186/s12544-021-00473-7,"Abstract Introduction The first wave of COVID-19 pandemic period has drastically changed people’s lives all over the world. To cope with the disruption, digital solutions have become more popular. However, the ability to adopt digitalised alternatives is different across socio-economic and socio-demographic groups. Objective This study investigates how individuals have changed their activity-travel patterns and internet usage during the first wave of the COVID-19 pandemicperiod, and which of these changes may be kept. Methods An empirical data collection was deployed through online forms. 781 responses from different countries (Italy, Sweden, India and others) have beencollected, and a series of multivariate analyses was carried out. Two linear regression models are presented, related to the change of travel activities andinternet usage, before and during the pandemic period. Furthermore, a binary regression model is used to examine the likelihood of the respondents to adoptand keep their behaviours beyond the pandemic period. Results The results show that the possibility to change the behaviour matter. External restrictions and personal characteristics are the driving factors of the reductionin ones' daily trips. However, the estimation results do not show a strong correlation between the countries' restriction policy and the respondents' likelihoodto adopt the new and online-based behaviours for any of the activities after the restriction period. Conclusion The acceptance and long-term adoption of the online alternatives for activities are correlated with the respondents' personality and socio-demographicgroup, highlighting the importance of promoting alternatives as a part of longer-term behavioural and lifestyle changes.","abstract introduction the first wave of covid-19 pandemic period has drastically changed people’s lives all over the world. to cope with the disruption, digital solutions have become more popular. however, the ability to adopt digitalised alternatives is different across socio-economic and socio-demographic groups. objective this study investigates how individuals have changed their activity-travel patterns and internet usage during the first wave of the covid-19 pandemicperiod, and which of these changes may be kept. methods an empirical data collection was deployed through online forms. 781 responses from different countries (italy, sweden, india and others) have beencollected, and a series of multivariate analyses was carried out. two linear regression models are presented, related to the change of travel activities andinternet usage, before and during the pandemic period. furthermore, a binary regression model is used to examine the likelihood of the respondents to adoptand keep their behaviours beyond the pandemic period. results the results show that the possibility to change the behaviour matter. external restrictions and personal characteristics are the driving factors of the reductionin ones' daily trips. however, the estimation results do not show a strong correlation between the countries' restriction policy and the respondents' likelihoodto adopt the new and online-based behaviours for any of the activities after the restriction period. conclusion the acceptance and long-term adoption of the online alternatives for activities are correlated with the respondents' personality and socio-demographicgroup, highlighting the importance of promoting alternatives as a part of longer-term behavioural and lifestyle changes."
http://orkg.org/orkg/resource/R107834,The future of learner-interface interaction. A vision from EdTech,10.32870/Ap.v12n2.1910,,
http://orkg.org/orkg/resource/R107843,Getting the Mix Right Again: An updated and theoretical rationale for interaction,10.19173/irrodl.v4i2.149 ,,
http://orkg.org/orkg/resource/R107855,"Phytochemical Screening, Analgesic and Anti-inflammatory Properties and Median Lethal Dose of Ethanol Leaf Extract of Wild Species of Eryngium foetidum L. on Albino Rats",,,
http://orkg.org/orkg/resource/R107858,HAEMOPOIETIC EFFECT OF Cucurbita pepo LINN. DIET PREPARATION IN ALBINO RATS,,,
http://orkg.org/orkg/resource/R107861,"INFLUENCE OF SESAMUM INDICUM L. ETHANOLIC LEAF EXTRACT ON HAEMATOLOGICAL PARAMETERS ON ALBINO RATS IN AKWA IBOM STATE, NIGERIA",,,
http://orkg.org/orkg/resource/R107864,"Phytochemical screening and effect of ethanolic root extract of Uvaria chamae on haematological parameters on albino rats in Akwa Ibom State, Nigeria",,,
http://orkg.org/orkg/resource/R107867,Haematopoietic Properties of Ethanolic Fruit Extract of Musa Acuminata on Albino Rats,,,
http://orkg.org/orkg/resource/R107870,ANTIDIABETIC EFFECT OF Dioscorea bulbifera ON ALLOXANINDUCED DIABETIC RATS,,,
http://orkg.org/orkg/resource/R107873,Evaluation of concentration of heavy metals in leaf tissues of three improved varieties of Manihot esculenta Crantz,,,
http://orkg.org/orkg/resource/R107876,"Influence of nutrient amendments of soil quality on germination, growth and yield components of two varieties of okra (Abelmoschus esculentus (L.) Moench) sown at University of Uyo botanical garden, Uyo, Akwa Ibom State",,,
http://orkg.org/orkg/resource/R107879,HAEMOPOIETIC EFFECTS OF ETHANOLIC EXTRACT OF Stellaria media (L.) LEAVES ON ALBINO MICE,,,
http://orkg.org/orkg/resource/R107882,PHYTOCHEMICAL SCREENING AND ANTIDIABETIC PROPERTIES OF Musa acuminata ETHANOLIC FRUIT EXTRACT ON ALLOXAN INDUCED DIABETIC ALBINO RATS. ,,,
http://orkg.org/orkg/resource/R107885,"Effect of Water Stress on Some Growth Aspects of Two Varieties of Cowpea: Vigna unguiculata (L.) Walp, Fabaceae",,,
http://orkg.org/orkg/resource/R107888,Antidiabetic Effect of Pleurotus ostreatus (Jacq. ex Fr) kumm. Mushroom on Alloxan-induced Diabetic Rats,,,
http://orkg.org/orkg/resource/R107891,Effects of Nutrient Amendments of Spent Engine Oil Polluted Soil on Some Growth Parameters of Abelmoschus esculentus (L.) Moench. in South-South Nigeria,,,
http://orkg.org/orkg/resource/R107894,Phytochemical screening and anti-inflammatory effect of ethanolic and aqueous extract of Nephrolepis biserrata leaf on Albino Wistar Mice,,,
http://orkg.org/orkg/resource/R107897,Phytochemical Screening and Anti-hyperglycaemic Activity of Ethanolic Extract of Terminalia ivorensis A. Chev. Leaves on Albino Wistar Rats.,,,
http://orkg.org/orkg/resource/R107900,Phytochemical Screening and Haemopoetic Study of the Ethanolic Root Extract of Baphia nitida Lodd on Albino Rats ,,,
http://orkg.org/orkg/resource/R107903,NUTRACEUTICAL POTENTIALS OF WILD AND NEGLECTED EDIBLE LEAFY VEGETABLES (Sterculia tragacantha and Sesamum indicum) IN AKWA IBOM STATE-NIGERIA,,,
http://orkg.org/orkg/resource/R107906,"Phytochemical and Physicochemical Properties of Leaf, Stem and Flowers of Luffa aegyptiaca (Johann Veslingius)",,,
http://orkg.org/orkg/resource/R107933,The Ontology-based Business Architecture Engineering Framework,10.3233/978-1-60750-831-1-233,,
http://orkg.org/orkg/resource/R108037,Bottom-up energy supply optimization of a national building stock,10.1016/j.enbuild.2019.109667,"<section-title>Abstract</section-title>
         <abstract-sec><simple-para>The installation and operation distributed energy resources (DER) and the electrification of the heat supply significantly changes the interaction of the residential building stock with the grid infrastructure. Evaluating the mass deployment of DER at the national level would require analyzing millions of individual buildings, entailing significant computational burden.</simple-para>
            <simple-para>To overcome this, this work proposes a novel bottom-up model that consists of an aggregation algorithm to create a spatially distributed set of typical residential buildings from census data. Each typical building is then optimized with a Mixed-Integer Linear Program to derive its cost optimal technology adoption and operation, determining its changing grid load in future scenarios.</simple-para>
            <simple-para>The model is validated for Germany, with 200 typical buildings considered to sufficiently represent the diversity of the residential building stock. In a future scenario for 2050, photovoltaic and heat pumps are predicted to be the most economically and ecologically robust supply solutions for the different building types. Nevertheless, their electricity generation and demand temporally do not match, resulting in a doubling of the peak electricity grid load in the rural areas during the winter. The urban areas can compensate this with efficient co-generation units, which are not cost-efficient in the rural areas.</simple-para></abstract-sec>","abstract the installation and operation distributed energy resources (der) and the electrification of the heat supply significantly changes the interaction of the residential building stock with the grid infrastructure. evaluating the mass deployment of der at the national level would require analyzing millions of individual buildings, entailing significant computational burden. to overcome this, this work proposes a novel bottom-up model that consists of an aggregation algorithm to create a spatially distributed set of typical residential buildings from census data. each typical building is then optimized with a mixed-integer linear program to derive its cost optimal technology adoption and operation, determining its changing grid load in future scenarios. the model is validated for germany, with 200 typical buildings considered to sufficiently represent the diversity of the residential building stock. in a future scenario for 2050, photovoltaic and heat pumps are predicted to be the most economically and ecologically robust supply solutions for the different building types. nevertheless, their electricity generation and demand temporally do not match, resulting in a doubling of the peak electricity grid load in the rural areas during the winter. the urban areas can compensate this with efficient co-generation units, which are not cost-efficient in the rural areas."
http://orkg.org/orkg/resource/R108050,The Architecture of the ArchiMate Language,10.1007/978-3-642-01862-6_30,,
http://orkg.org/orkg/resource/R108058,Defining Requirements for a Business Architecture Standard,,,
http://orkg.org/orkg/resource/R108100,Business Motivation Model (BMM) Specification,,,
http://orkg.org/orkg/resource/R108102,First impressions from the PRISMA  hyperspectral mission,10.18520/cs/v119/i8/1267-1281,,
http://orkg.org/orkg/resource/R108126,"The Performance of the Satellite-borne Hyperion Hyperspectral VNIR-SWIR Imaging System for Mineral Mapping at Mount Fitton, South Australia",10.1109/IGARSS.2001.976142,"Satellite-based hyperspectral imaging became a reality in November 2000 with the successful launch and operation of the Hyperion system on board the EO-1 platform. Hyperion is a pushbroom imager with 220 spectral bands in the 400-2500 nm wavelength range, a 30 meter pixel size and a 7.5 km swath. Pre-launch characterization of Hyperion measured low signal to noise (SNR<40:1) for the geologically significant shortwave infrared (SWIR) wavelength region (2000-2500 nm). The impact of this low SNR on Hyperion's capacity to resolve spectral detail was evaluated for the Mount Fitton test site in South Australia, which comprises a diverse range of minerals with narrow, diagnostic absorption bands in the SWIR. Following radiative transfer correction of the Hyperion radiance at sensor data to surface radiance (apparent reflectance), diagnostic spectral signatures were clearly apparent, including: green vegetation; talc; dolomite; chlorite; white mica and possibly tremolite. Even though the derived surface composition maps generated from these image endmembers were noisy (both random and column), they were nonetheless spatially coherent and correlated well with the known geology. In addition, the Hyperion data were used to measure and map spectral shifts of <10 nm in the SWIR related to white mica chemical variations.","satellite-based hyperspectral imaging became a reality in november 2000 with the successful launch and operation of the hyperion system on board the eo-1 platform. hyperion is a pushbroom imager with 220 spectral bands in the 400-2500 nm wavelength range, a 30 meter pixel size and a 7.5 km swath. pre-launch characterization of hyperion measured low signal to noise (snr<40:1) for the geologically significant shortwave infrared (swir) wavelength region (2000-2500 nm). the impact of this low snr on hyperion's capacity to resolve spectral detail was evaluated for the mount fitton test site in south australia, which comprises a diverse range of minerals with narrow, diagnostic absorption bands in the swir. following radiative transfer correction of the hyperion radiance at sensor data to surface radiance (apparent reflectance), diagnostic spectral signatures were clearly apparent, including: green vegetation; talc; dolomite; chlorite; white mica and possibly tremolite. even though the derived surface composition maps generated from these image endmembers were noisy (both random and column), they were nonetheless spatially coherent and correlated well with the known geology. in addition, the hyperion data were used to measure and map spectral shifts of <10 nm in the swir related to white mica chemical variations."
http://orkg.org/orkg/resource/R108129,Comparison of Airborne Hyperspectral Data and EO-1 Hyperion for Mineral Mapping,10.1109/TGRS.2003.812908,"Airborne hyperspectral data have been available to researchers since the early 1980s and their use for geologic applications is well documented. The launch of the National Aeronautics and Space Administration Earth Observing 1 Hyperion sensor in November 2000 marked the establishment of a test bed for spaceborne hyperspectral capabilities. Hyperion covers the 0.4-2.5-/spl mu/m range with 242 spectral bands at approximately 10-nm spectral resolution and 30-m spatial resolution. Analytical Imaging and Geophysics LLC and the Commonwealth Scientific and Industrial Research Organisation have been involved in efforts to evaluate, validate, and demonstrate Hyperions's utility for geologic mapping in a variety of sites in the United States and around the world. Initial results over several sites with established ground truth and years of airborne hyperspectral data show that Hyperion data from the shortwave infrared spectrometer can be used to produce useful geologic (mineralogic) information. Minerals mapped include carbonates, chlorite, epidote, kaolinite, alunite, buddingtonite, muscovite, hydrothermal silica, and zeolite. Hyperion data collected under optimum conditions (summer season, bright targets, well-exposed geology) indicate that Hyperion data meet prelaunch specifications and allow subtle distinctions such as determining the difference between calcite and dolomite and mapping solid solution differences in micas caused by substitution in octahedral molecular sites. Comparison of airborne hyperspectral data [from the Airborne Visible/Infrared Imaging Spectrometer (AVIRIS)] to the Hyperion data establishes that Hyperion provides similar basic mineralogic information, with the principal limitation being limited mapping of fine spectral detail under less-than-optimum acquisition conditions (winter season, dark targets) based on lower signal-to-noise ratios. Case histories demonstrate the analysis methodologies and level of information available from the Hyperion data. They also show the viability of Hyperion as a means of extending hyperspectral mineral mapping to areas not accessible to aircraft sensors. The analysis results demonstrate that spaceborne hyperspectral sensors can produce useful mineralogic information, but also indicate that SNR improvements are required for future spaceborne sensors to allow the same level of mapping that is currently possible from airborne sensors such as AVIRIS.","airborne hyperspectral data have been available to researchers since the early 1980s and their use for geologic applications is well documented. the launch of the national aeronautics and space administration earth observing 1 hyperion sensor in november 2000 marked the establishment of a test bed for spaceborne hyperspectral capabilities. hyperion covers the 0.4-2.5-/spl mu/m range with 242 spectral bands at approximately 10-nm spectral resolution and 30-m spatial resolution. analytical imaging and geophysics llc and the commonwealth scientific and industrial research organisation have been involved in efforts to evaluate, validate, and demonstrate hyperions's utility for geologic mapping in a variety of sites in the united states and around the world. initial results over several sites with established ground truth and years of airborne hyperspectral data show that hyperion data from the shortwave infrared spectrometer can be used to produce useful geologic (mineralogic) information. minerals mapped include carbonates, chlorite, epidote, kaolinite, alunite, buddingtonite, muscovite, hydrothermal silica, and zeolite. hyperion data collected under optimum conditions (summer season, bright targets, well-exposed geology) indicate that hyperion data meet prelaunch specifications and allow subtle distinctions such as determining the difference between calcite and dolomite and mapping solid solution differences in micas caused by substitution in octahedral molecular sites. comparison of airborne hyperspectral data [from the airborne visible/infrared imaging spectrometer (aviris)] to the hyperion data establishes that hyperion provides similar basic mineralogic information, with the principal limitation being limited mapping of fine spectral detail under less-than-optimum acquisition conditions (winter season, dark targets) based on lower signal-to-noise ratios. case histories demonstrate the analysis methodologies and level of information available from the hyperion data. they also show the viability of hyperion as a means of extending hyperspectral mineral mapping to areas not accessible to aircraft sensors. the analysis results demonstrate that spaceborne hyperspectral sensors can produce useful mineralogic information, but also indicate that snr improvements are required for future spaceborne sensors to allow the same level of mapping that is currently possible from airborne sensors such as aviris."
http://orkg.org/orkg/resource/R108132,Analysis of spectral absorption features in hyperspectral imagery,10.1016/j.jag.2003.09.001,"<section-title>Abstract</section-title><abstract-sec><simple-para>Spectral reflectance in the visible and near-infrared wavelengths provides a rapid and inexpensive means for determining the mineralogy of samples and obtaining information on chemical composition. Absorption-band parameters such as the position, depth, width, and asymmetry of the feature have been used to quantitatively estimate composition of samples from hyperspectral field and laboratory reflectance data. The parameters have also been used to develop mapping methods for the analysis of hyperspectral image data. This has resulted in techniques providing surface mineralogical information (e.g., classification) using absorption-band depth and position. However, no attempt has been made to prepare images of the absorption-band parameters. In this paper, a simple linear interpolation technique is proposed in order to derive absorption-band position, depth and asymmetry from hyperspectral image data. AVIRIS data acquired in 1995 over the Cuprite mining area (Nevada, USA) are used to demonstrate the technique and to interpret the data in terms of the known alteration phases characterizing the area. A sensitivity analysis of the methods proposed shows that good results can be obtained for estimating the absorption wavelength position, however the estimated absorption-band-depth is sensitive to the input parameters chosen. The resulting parameter images (depth, position, asymmetry of the absorption) when carefully examined and interpreted by an experienced remote sensing geologist provide key information on surface mineralogy. The estimates of depth and position can be related to the chemistry of the samples and thus allow to bridge the gap between field geochemistry and remote sensing.</simple-para></abstract-sec>","abstract spectral reflectance in the visible and near-infrared wavelengths provides a rapid and inexpensive means for determining the mineralogy of samples and obtaining information on chemical composition. absorption-band parameters such as the position, depth, width, and asymmetry of the feature have been used to quantitatively estimate composition of samples from hyperspectral field and laboratory reflectance data. the parameters have also been used to develop mapping methods for the analysis of hyperspectral image data. this has resulted in techniques providing surface mineralogical information (e.g., classification) using absorption-band depth and position. however, no attempt has been made to prepare images of the absorption-band parameters. in this paper, a simple linear interpolation technique is proposed in order to derive absorption-band position, depth and asymmetry from hyperspectral image data. aviris data acquired in 1995 over the cuprite mining area (nevada, usa) are used to demonstrate the technique and to interpret the data in terms of the known alteration phases characterizing the area. a sensitivity analysis of the methods proposed shows that good results can be obtained for estimating the absorption wavelength position, however the estimated absorption-band-depth is sensitive to the input parameters chosen. the resulting parameter images (depth, position, asymmetry of the absorption) when carefully examined and interpreted by an experienced remote sensing geologist provide key information on surface mineralogy. the estimates of depth and position can be related to the chemistry of the samples and thus allow to bridge the gap between field geochemistry and remote sensing."
http://orkg.org/orkg/resource/R108135,"Mapping of hydrothermally altered rocks by the EO-1 Hyperion sensor, Northern Danakil Depression, Eritrea",10.1080/01431160701874587,,
